2025-02-10 at 11:24:17 | INFO | Бот успешно запущен.
2025-02-10 at 11:24:20 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 11:24:24 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-10 at 11:24:24 | INFO | Найдено 3 записей.
2025-02-10 at 11:33:59 | ERROR | Бот остановлен!
2025-02-10 at 11:34:08 | INFO | Бот успешно запущен.
2025-02-10 at 11:34:09 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 11:34:14 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-02-10 at 11:34:14 | INFO | Найдено 3 записей.
2025-02-10 at 11:34:53 | ERROR | Бот остановлен!
2025-02-10 at 11:35:02 | INFO | Бот успешно запущен.
2025-02-10 at 11:35:04 | INFO | Запись User с ID 5127841744 найдена.
2025-02-10 at 11:35:10 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 11:35:10 | INFO | Найдено 2 записей.
2025-02-10 at 11:35:17 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 11:35:17 | INFO | Найдено 2 записей.
2025-02-10 at 11:35:20 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 11:35:20 | INFO | Найдено 2 записей.
2025-02-10 at 11:35:26 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 11:35:26 | INFO | Найдено 2 записей.
2025-02-10 at 11:35:31 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 11:35:31 | INFO | Найдено 2 записей.
2025-02-10 at 11:35:34 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 11:35:34 | INFO | Найдено 2 записей.
2025-02-10 at 11:35:37 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-02-10 at 11:35:37 | INFO | Найдено 2 записей.
2025-02-10 at 11:35:47 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
